,document_id,document_text,entity,gold_answer,giga_answer,score
10,ru-1001,"Глава МИД Британии Борис Джонсон подал в отставку

Министр иностранных дел Великобритании Борис Джонсон ушел в отставку. Об этом сообщает Associated Press. Премьер-министр Тереза Мэй приняла отставку Джонсона. ""Премьер поблагодарила Бориса за работу. О том, кто станет новым министром, будет объявлено в ближайшее время"", - сообщили также в канцелярии премьера.

Ранее Мэй пообещала отправить в отставку Джонсона, если он откажется принять ее позицию по плавному выходу из Евросоюза. Напомним, что Джонсон является сторонником жесткого Brexit . Он уверен, что план Мэй, который подразумевает создание зоны свободной торговли с ЕС, сохранит зависимость Соединенного Королевства от Евросоюза.",EVT,EVT-Brexit,EVT-Resignation-of-Boris-Johnson; EVT-Brexit,0.6666666666666666
11,ru-1001,"Глава МИД Британии Борис Джонсон подал в отставку

Министр иностранных дел Великобритании Борис Джонсон ушел в отставку. Об этом сообщает Associated Press. Премьер-министр Тереза Мэй приняла отставку Джонсона. ""Премьер поблагодарила Бориса за работу. О том, кто станет новым министром, будет объявлено в ближайшее время"", - сообщили также в канцелярии премьера.

Ранее Мэй пообещала отправить в отставку Джонсона, если он откажется принять ее позицию по плавному выходу из Евросоюза. Напомним, что Джонсон является сторонником жесткого Brexit . Он уверен, что план Мэй, который подразумевает создание зоны свободной торговли с ЕС, сохранит зависимость Соединенного Королевства от Евросоюза.",PER,PER-Boris-Johnson; PER-Theresa-May,PER-Boris-Johnson; PER-Theresa-May; PER-Associated-Press,0.8
12,ru-1001,"Глава МИД Британии Борис Джонсон подал в отставку

Министр иностранных дел Великобритании Борис Джонсон ушел в отставку. Об этом сообщает Associated Press. Премьер-министр Тереза Мэй приняла отставку Джонсона. ""Премьер поблагодарила Бориса за работу. О том, кто станет новым министром, будет объявлено в ближайшее время"", - сообщили также в канцелярии премьера.

Ранее Мэй пообещала отправить в отставку Джонсона, если он откажется принять ее позицию по плавному выходу из Евросоюза. Напомним, что Джонсон является сторонником жесткого Brexit . Он уверен, что план Мэй, который подразумевает создание зоны свободной торговли с ЕС, сохранит зависимость Соединенного Королевства от Евросоюза.",LOC,GPE-Great-Britain,GPE-United-Kingdom,0.0
13,ru-1002,"09.07.2018 18:09 : Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона

Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона.

Это связано с несогласием относительно планов отношения Великобритании и ЕС после официального выхода страны из Евросоюза. Ранее по этой же причине в отставку ушел британский министр по делам «Брекзит» Дэвид Дэвис.",PER,PER-Boris-Johnson; PER-David-Davis; PER-Theresa-May,PER-Theresa-May; PER-Boris-Johnson; PER-David-Davis,1.0
14,ru-1002,"09.07.2018 18:09 : Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона

Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона.

Это связано с несогласием относительно планов отношения Великобритании и ЕС после официального выхода страны из Евросоюза. Ранее по этой же причине в отставку ушел британский министр по делам «Брекзит» Дэвид Дэвис.",EVT,EVT-Brexit,EVT-Resignation; EVT-Brexit,0.6666666666666666
15,ru-1002,"09.07.2018 18:09 : Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона

Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона.

Это связано с несогласием относительно планов отношения Великобритании и ЕС после официального выхода страны из Евросоюза. Ранее по этой же причине в отставку ушел британский министр по делам «Брекзит» Дэвид Дэвис.",LOC,GPE-Great-Britain,GPE-United-Kingdom,0.0
16,ru-1002,"09.07.2018 18:09 : Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона

Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона.

Это связано с несогласием относительно планов отношения Великобритании и ЕС после официального выхода страны из Евросоюза. Ранее по этой же причине в отставку ушел британский министр по делам «Брекзит» Дэвид Дэвис.",ORG,ORG-European-Union,,0.0
17,ru-1003,"09.07.2018 17:02 : Министр иностранных дел Великобритании Борис Джонсон покинул свой пост

Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.",PER,PER-Boris-Johnson; PER-David-Davis; PER-Theresa-May,PER-Boris-Johnson; PER-Theresa-May; PER-David-Davis,1.0
18,ru-1003,"09.07.2018 17:02 : Министр иностранных дел Великобритании Борис Джонсон покинул свой пост

Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.",LOC,GPE-Great-Britain; LOC-Downing-Street,GPE-United-Kingdom,0.0
19,ru-1003,"09.07.2018 17:02 : Министр иностранных дел Великобритании Борис Джонсон покинул свой пост

Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.",ORG,ORG-European-Union; ORG-Reuters,ORG-UK-Government,0.0
20,ru-1003,"09.07.2018 17:02 : Министр иностранных дел Великобритании Борис Джонсон покинул свой пост

Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.",EVT,EVT-Brexit,EVT-Resignation,0.0
21,ru-1004,"Борис Джонсон ушел в отставку с поста главы МИД Великобритании

Глава МИД Великобритании Борис Джонсон ушел в отставку, сообщает ТАСС со ссылкой на канцелярию премьер-министра страны Терезы Мэй.

Имя нового министра обещают назвать в ближайшее время. Также сообщается, что Мэй поблагодарила Джонсона за работу.

8 июля в отставку подал министр по вопросам Brexit Дэвид Дэвис. Причиной стало его несогласие с предложенным Мэй планом развития отношений с Евросоюзом после Brexit. Дэвис счел его слишком большой уступкой ЕС. Сообщалось, что Джонсон также резко раскритиковал план премьера. Сегодня экс-глава МИД должен был принять участие в пресс-конференции с коллегами из Германии и Польши на проходящем в Лондоне саммите по развитию региона Западных Балкан. В итоге Джонсон так и не пришел на мероприятие. Пост министра иностранных дел он занимал меньше двух лет. Политические аналитики полагают, что его отставка может привести к борьбе внутри правящей Консервативной партии за пост лидера, что в итоге станет причиной отставки Мэй с должности партийного руководителя и премьер-министра.",EVT,EVT-Brexit,EVT-Resignation-of-Boris-Johnson; EVT-Resignation-of-David-Davis; EVT-Press-conference-in-London; EVT-Summit-on-the-development-of-the-Western-Balkans-region,0.0
22,ru-1004,"Борис Джонсон ушел в отставку с поста главы МИД Великобритании

Глава МИД Великобритании Борис Джонсон ушел в отставку, сообщает ТАСС со ссылкой на канцелярию премьер-министра страны Терезы Мэй.

Имя нового министра обещают назвать в ближайшее время. Также сообщается, что Мэй поблагодарила Джонсона за работу.

8 июля в отставку подал министр по вопросам Brexit Дэвид Дэвис. Причиной стало его несогласие с предложенным Мэй планом развития отношений с Евросоюзом после Brexit. Дэвис счел его слишком большой уступкой ЕС. Сообщалось, что Джонсон также резко раскритиковал план премьера. Сегодня экс-глава МИД должен был принять участие в пресс-конференции с коллегами из Германии и Польши на проходящем в Лондоне саммите по развитию региона Западных Балкан. В итоге Джонсон так и не пришел на мероприятие. Пост министра иностранных дел он занимал меньше двух лет. Политические аналитики полагают, что его отставка может привести к борьбе внутри правящей Консервативной партии за пост лидера, что в итоге станет причиной отставки Мэй с должности партийного руководителя и премьер-министра.",PER,PER-Boris-Johnson; PER-David-Davis; PER-Theresa-May,PER-Boris-Johnson; PER-Theresa-May; PER-David-Davis,1.0
23,ru-1004,"Борис Джонсон ушел в отставку с поста главы МИД Великобритании

Глава МИД Великобритании Борис Джонсон ушел в отставку, сообщает ТАСС со ссылкой на канцелярию премьер-министра страны Терезы Мэй.

Имя нового министра обещают назвать в ближайшее время. Также сообщается, что Мэй поблагодарила Джонсона за работу.

8 июля в отставку подал министр по вопросам Brexit Дэвид Дэвис. Причиной стало его несогласие с предложенным Мэй планом развития отношений с Евросоюзом после Brexit. Дэвис счел его слишком большой уступкой ЕС. Сообщалось, что Джонсон также резко раскритиковал план премьера. Сегодня экс-глава МИД должен был принять участие в пресс-конференции с коллегами из Германии и Польши на проходящем в Лондоне саммите по развитию региона Западных Балкан. В итоге Джонсон так и не пришел на мероприятие. Пост министра иностранных дел он занимал меньше двух лет. Политические аналитики полагают, что его отставка может привести к борьбе внутри правящей Консервативной партии за пост лидера, что в итоге станет причиной отставки Мэй с должности партийного руководителя и премьер-министра.",LOC,GPE-Germany; LOC-Balkans; GPE-London; GPE-Poland,GPE-United-Kingdom; GPE-London; LOC-Western-Balkans,0.28571428571428575
24,ru-1004,"Борис Джонсон ушел в отставку с поста главы МИД Великобритании

Глава МИД Великобритании Борис Джонсон ушел в отставку, сообщает ТАСС со ссылкой на канцелярию премьер-министра страны Терезы Мэй.

Имя нового министра обещают назвать в ближайшее время. Также сообщается, что Мэй поблагодарила Джонсона за работу.

8 июля в отставку подал министр по вопросам Brexit Дэвид Дэвис. Причиной стало его несогласие с предложенным Мэй планом развития отношений с Евросоюзом после Brexit. Дэвис счел его слишком большой уступкой ЕС. Сообщалось, что Джонсон также резко раскритиковал план премьера. Сегодня экс-глава МИД должен был принять участие в пресс-конференции с коллегами из Германии и Польши на проходящем в Лондоне саммите по развитию региона Западных Балкан. В итоге Джонсон так и не пришел на мероприятие. Пост министра иностранных дел он занимал меньше двух лет. Политические аналитики полагают, что его отставка может привести к борьбе внутри правящей Консервативной партии за пост лидера, что в итоге станет причиной отставки Мэй с должности партийного руководителя и премьер-министра.",ORG,ORG-European-Union; ORG-Conservative-and-Unionist-Party-UK; ORG-Foreign-Office; ORG-TASS,ORG-UK-Government; ORG-UK-Prime-Minister-s-Office; ORG-Conservative-Party,0.0
25,ru-1006,"Захарова лирически прокомментировала отставку Джонсона

Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.",EVT,EVT-Brexit,EVT-Resignation-of-Boris-Johnson,0.0
26,ru-1006,"Захарова лирически прокомментировала отставку Джонсона

Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.",PRO,PRO-Facebook,,0.0
27,ru-1006,"Захарова лирически прокомментировала отставку Джонсона

Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.",PER,PER-Boris-Johnson; PER-Maria-Zaharova; PER-Theresa-May,PER-Maria-Zakharova; PER-Boris-Johnson; PER-Theresa-May,0.6666666666666666
28,ru-1006,"Захарова лирически прокомментировала отставку Джонсона

Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.",LOC,GPE-Great-Britain,GPE-Russia,0.0
29,ru-1006,"Захарова лирически прокомментировала отставку Джонсона

Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.",ORG,ORG-Ministry-of-Foreign-Affairs-Russia,ORG-UK-Government; ORG-European-Union,0.0
30,ru-1011,"За Борисом Джонсоном последует сама Мэй - британская пресса о главном политическом кризисе недели

Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.",EVT,EVT-Brexit,EVT-Resignation-of-Boris-Johnson; EVT-Resignation-of-David-Davis; EVT-Brexit,0.5
31,ru-1011,"За Борисом Джонсоном последует сама Мэй - британская пресса о главном политическом кризисе недели

Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.",PRO,PRO-The-Guardian,,0.0
32,ru-1011,"За Борисом Джонсоном последует сама Мэй - британская пресса о главном политическом кризисе недели

Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.",PER,PER-Boris-Johnson; PER-David-Davis; PER-Theresa-May,PER-Boris-Johnson; PER-Theresa-May; PER-David-Davis,1.0
33,ru-1011,"За Борисом Джонсоном последует сама Мэй - британская пресса о главном политическом кризисе недели

Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.",LOC,GPE-Great-Britain,GPE-United-Kingdom,0.0
34,ru-1011,"За Борисом Джонсоном последует сама Мэй - британская пресса о главном политическом кризисе недели

Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.",ORG,ORG-European-Union; ORG-House-of-Commons,ORG-UK-Government; ORG-Guardian,0.0
35,ru-1017,"Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании

КИЕВ. 9 июля. УНН. Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента. Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Ранее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.",EVT,EVT-Brexit,EVT-Resignation,0.0
36,ru-1017,"Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании

КИЕВ. 9 июля. УНН. Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента. Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Ранее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.",PRO,PRO-The-Guardian,,0.0
37,ru-1017,"Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании

КИЕВ. 9 июля. УНН. Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента. Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Ранее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.",PER,PER-Boris-Johnson; PER-David-Davis; PER-Steve-Baker; PER-Theresa-May,PER-Boris-Johnson; PER-Theresa-May; PER-David-Davis; PER-Steve-Baker,1.0
38,ru-1017,"Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании

КИЕВ. 9 июля. УНН. Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента. Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Ранее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.",LOC,GPE-Great-Britain; GPE-Kiev,GPE-United-Kingdom,0.0
39,ru-1017,"Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании

КИЕВ. 9 июля. УНН. Борис Джонсон подал в отставку с поста министра иностранных дел Великобритании. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента. Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Ранее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС.",ORG,ORG-European-Union; ORG-Foreign-Office; ORG-UNN,ORG-UK-Parliament; ORG-UK-Government,0.0
